,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
188,Fate/Zero Season 2,"Action, Drama, Fantasy, Supernatural",Aniplex,12,2012-04-01,Tv,84.0,AniList,2012.0
190,MASHLE: MAGIC AND MUSCLES,"Action, Comedy, Fantasy",Aniplex,12,2023-04-01,Tv,76.0,AniList,2023.0
191,Kakegurui xx,"Drama, Mystery, Psychological",MAPPA,12,2019-01-01,Tv,70.0,AniList,2019.0
192,Guilty Crown,"Action, Drama, Mecha, Psychological, Romance, Sci-Fi",Production I.G,22,2011-10-01,Tv,69.0,AniList,2011.0
193,The Ancient Magus' Bride,"Drama, Fantasy, Romance, Slice of Life, Supernatural",WIT STUDIO,24,2017-10-01,Tv,78.0,AniList,2017.0
194,Bungo Stray Dogs 2,"Action, Comedy, Mystery, Supernatural",bones,12,2016-10-01,Tv,81.0,AniList,2016.0
195,Date A Live,"Action, Comedy, Ecchi, Fantasy, Mecha, Romance, Sci-Fi",Funimation,12,2013-04-01,Tv,68.0,AniList,2013.0
197,Blue Spring Ride,"Drama, Romance, Slice of Life",Production I.G,12,2014-07-01,Tv,75.0,AniList,2014.0
198,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,12,2019-07-01,Tv,71.0,AniList,2019.0
199,Mob Psycho 100 III,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",bones,12,2022-10-01,Tv,87.0,AniList,2022.0
200,Prison School,"Comedy, Ecchi",J.C.STAFF,12,2015-07-01,Tv,73.0,AniList,2015.0
201,Overlord III,"Action, Adventure, Fantasy",MADHOUSE,13,2018-07-01,Tv,77.0,AniList,2018.0
202,Black Lagoon,"Action, Adventure, Drama, Thriller",MADHOUSE,12,2006-04-01,Tv,78.0,AniList,2006.0
203,Nichijou - My Ordinary Life,"Comedy, Slice of Life",Kyoto Animation,26,2011-04-01,Tv,83.0,AniList,2011.0
204,Log Horizon,"Action, Adventure, Fantasy",Satelight,25,2013-10-01,Tv,76.0,AniList,2013.0
205,SK8 the Infinity,"Action, Drama, Sports",bones,12,2021-01-01,Tv,79.0,AniList,2021.0
206,Toilet-bound Hanako-kun,"Action, Comedy, Drama, Mystery, Supernatural",Lerche,12,2020-01-01,Tv,77.0,AniList,2020.0
207,My Hero Academia Season 6,"Action, Adventure",bones,25,2022-10-01,Tv,82.0,AniList,2022.0
209,Serial Experiments Lain,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",TV Tokyo,13,1998-07-01,Tv,80.0,AniList,1998.0
210,Yuri!!! on ICE,"Comedy, Drama, Sports",MAPPA,12,2016-10-01,Tv,77.0,AniList,2016.0
211,TONIKAWA: Over The Moon For You,"Comedy, Romance, Slice of Life",Seven Arcs,12,2020-10-01,Tv,77.0,AniList,2020.0
212,Danganronpa: The Animation,"Horror, Mystery, Psychological, Sci-Fi, Thriller",NBCUniversal Entertainment Japan,13,2013-06-01,Tv,68.0,AniList,2013.0
213,Chivalry of a Failed Knight,"Action, Ecchi, Fantasy, Romance",SILVER LINK.,12,2015-10-01,Tv,72.0,AniList,2015.0
214,Vinland Saga Season 2,"Action, Adventure, Drama",Twin Engine,24,2023-01-01,Tv,88.0,AniList,2023.0
215,Orange,"Drama, Romance, Supernatural",TMS Entertainment,13,2016-07-01,Tv,74.0,AniList,2016.0
