,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
1312,"The Night is Short, Walk on Girl","Comedy, Romance",Science SARU,1,2017-04-01,Movie,81.0,AniList,2017.0
1315,Summer Ghost,"Drama, Supernatural",FLAT STUDIO,1,2021-11-01,Movie,78.0,AniList,2021.0
1317,Puella Magi Madoka Magica the Movie Part II: Eternal,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",Aniplex,1,2012-10-01,Movie,81.0,AniList,2012.0
1318,Hunter x Hunter: The Last Mission,"Action, Adventure, Fantasy",MADHOUSE,1,2013-12-01,Movie,70.0,AniList,2013.0
1321,Naruto the Movie: Ninja Clash in the Land of Snow,"Action, Adventure, Comedy, Drama, Supernatural",Studio Pierrot,1,2004-08-01,Movie,67.0,AniList,2004.0
1324,Mirai,"Adventure, Comedy, Drama, Fantasy, Slice of Life",Studio Chizu,1,2018-07-01,Movie,71.0,AniList,2018.0
1330,Toradora!: Bento Battle,"Comedy, Romance, Slice of Life",J.C.STAFF,1,2011-12-01,Ova,72.0,AniList,2011.0
1331,Date A Live II: Kurumi Star Festival,"Fantasy, Romance, Slice of Life",AIC Plus+,1,2014-12-01,Ova,76.0,AniList,2014.0
1338,Bungo Stray Dogs 2: Walking Alone,"Action, Comedy, Mystery, Supernatural",bones,1,2017-08-01,Ova,76.0,AniList,2017.0
1339,Mirai Nikki OVA,"Action, Supernatural",Asread,1,2010-12-01,Ova,65.0,AniList,2010.0
1346,The Place Promised in Our Early Days,"Drama, Romance, Sci-Fi",ADV Films,1,2004-11-01,Movie,68.0,AniList,2004.0
1347,Gintama: THE VERY FINAL,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,1,2021-01-01,Movie,91.0,AniList,2021.0
1349,Black Butler: Book of the Atlantic,"Action, Comedy, Fantasy, Mystery, Supernatural",A-1 Pictures,1,2017-01-01,Movie,80.0,AniList,2017.0
1355,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Is It Wrong to Expect a Hot Spring in a Dungeon?,"Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,1,2016-12-01,Ova,67.0,AniList,2016.0
1356,Berserk: The Golden Age Arc III - The Advent,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",Horipro,1,2013-02-01,Movie,79.0,AniList,2013.0
1362,Trinity Seven: Eternal Library & Alchemic Girl,"Action, Comedy, Ecchi, Fantasy, Romance",Seven Arcs,1,2017-02-01,Movie,69.0,AniList,2017.0
1367,To Every You I’ve Loved Before,"Romance, Sci-Fi",BAKKEN RECORD,1,2022-10-01,Movie,74.0,AniList,2022.0
1370,Naruto Shippuden the Movie: Bonds,"Action, Supernatural",Studio Pierrot,1,2008-08-01,Movie,69.0,AniList,2008.0
1382,Gurren Lagann The Movie: The Lights in the Sky are Stars,"Action, Drama, Mecha, Romance, Sci-Fi",Gainax,1,2009-04-01,Movie,84.0,AniList,2009.0
1385,Berserk: The Golden Age Arc II - The Battle for Doldrey,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",Horipro,1,2012-06-01,Movie,75.0,AniList,2012.0
1390,maboroshi,"Drama, Fantasy, Romance, Supernatural",MAPPA,1,2023-09-01,Movie,71.0,AniList,2023.0
1391,K-ON!: Live House!,"Comedy, Music, Slice of Life",Kyoto Animation,1,2010-01-01,Ova,77.0,AniList,2010.0
1436,Kabaneri of the Iron Fortress: The Battle of Unato,"Action, Drama, Fantasy, Horror, Supernatural",WIT STUDIO,1,2019-05-01,Movie,75.0,AniList,2019.0
1437,Initial D 3rd Stage,"Action, Drama, Romance, Sports",OB Planning,1,2001-01-01,Movie,78.0,AniList,2001.0
1452,Fairy Tail: Dragon Cry,"Action, Comedy, Fantasy",A-1 Pictures,1,2017-05-01,Movie,73.0,AniList,2017.0
1453,"To Me, The One Who Loved You","Romance, Sci-Fi",TMS Entertainment,1,2022-10-01,Movie,73.0,AniList,2022.0
1454,Ocean Waves,"Drama, Romance, Slice of Life",J.C.STAFF,1,1993-05-01,Special,63.0,AniList,1993.0
1468,Naruto Shippuden the Movie: The Will of Fire,"Action, Comedy",Studio Pierrot,1,2009-08-01,Movie,70.0,AniList,2009.0
1473,Another: The Other,"Horror, Mystery, Thriller",P.A.WORKS,1,2012-05-01,Ova,68.0,AniList,2012.0
1474,Dragon Ball Super: SUPER HERO,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,1,2022-06-01,Movie,76.0,AniList,2022.0
1481,Vampire Hunter D: Bloodlust,"Action, Adventure, Drama, Fantasy, Horror, Romance, Sci-Fi",MADHOUSE,1,2000-08-01,Movie,78.0,AniList,2000.0
1485,Bleach the Movie: Memories of Nobody,"Action, Adventure, Drama, Supernatural",Studio Pierrot,1,2006-12-01,Movie,70.0,AniList,2006.0
1486,Her Blue Sky,"Drama, Music, Romance, Slice of Life, Supernatural",CloverWorks,1,2019-10-01,Movie,73.0,AniList,2019.0
1488,Only Yesterday,"Drama, Romance, Slice of Life",Studio Ghibli,1,1991-07-01,Movie,73.0,AniList,1991.0
1490,Naruto the Movie: Legend of the Stone of Gelel,"Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Pierrot,1,2005-08-01,Movie,65.0,AniList,2005.0
1493,Fruits Basket -prelude-,"Drama, Romance",TMS Entertainment,1,2022-02-01,Movie,83.0,AniList,2022.0
1496,Fairy Tail: Phoenix Priestess,"Action, Adventure, Comedy, Fantasy",TV Tokyo,1,2012-08-01,Movie,70.0,AniList,2012.0
1500,Pokémon the Movie 2000,"Action, Adventure, Drama, Fantasy",OLM,1,1999-07-01,Movie,71.0,AniList,1999.0
1515,Memories,"Adventure, Comedy, Drama, Horror, Mystery, Psychological, Sci-Fi",MADHOUSE,3,1995-12-01,Movie,75.0,AniList,1995.0
1516,Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~,"Action, Comedy, Supernatural",bones,1,2019-09-01,Ova,76.0,AniList,2019.0
1539,BLUE LOCK THE MOVIE -EPISODE NAGI-,"Action, Drama, Sports",8-bit,1,2024-04-01,Movie,74.0,AniList,2024.0
1543,Spice and Wolf II: Wolf and the Amber Melancholy,"Adventure, Fantasy, Romance",Funimation,1,2009-04-01,Ova,76.0,AniList,2009.0
1552,ORESUKI: Are you the only one who loves me?: Our Playball / Our End Run / Our Game,"Comedy, Drama, Romance, Slice of Life",CONNECT,1,2020-09-01,Ova,73.0,AniList,2020.0
1553,Prison School: Mad Wax,"Comedy, Ecchi, Romance",J.C.STAFF,1,2016-03-01,Ova,71.0,AniList,2016.0
1564,Pokémon 3: The Movie,"Action, Adventure, Drama, Fantasy",OLM,1,2000-07-01,Movie,68.0,AniList,2000.0
1569,Made in Abyss: Wandering Twilight,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",Kinema Citrus,1,2019-01-01,Movie,83.0,AniList,2019.0
1573,Bleach the Movie: Hell Verse,"Action, Supernatural",Studio Pierrot,1,2010-12-01,Movie,73.0,AniList,2010.0
1589,Love Live! The School Idol Movie,"Music, Slice of Life",Sunrise,1,2015-06-01,Movie,77.0,AniList,2015.0
1593,Gurren Lagann The Movie: Childhood's End,"Action, Comedy, Drama, Mecha, Romance, Sci-Fi",Gainax,1,2008-09-01,Movie,79.0,AniList,2008.0
1594,"Love, Chunibyo & Other Delusions - Heart Throb -: The Rikka Wars/ Apocalypse of the Wicked Lord Shingan Reborn","Comedy, Romance, Slice of Life",Kyoto Animation,1,2014-09-01,Ova,73.0,AniList,2014.0
1598,Sing a Bit of Harmony,"Music, Sci-Fi",J.C.STAFF,1,2021-10-01,Movie,76.0,AniList,2021.0
1605,"High School DxD NEW OVA Oppai, Tsutsumimasu!","Comedy, Ecchi, Fantasy",Genco,1,2015-03-01,Ova,68.0,AniList,2015.0
1611,Beyond the Boundary -I'LL BE HERE-: Past,"Drama, Fantasy, Slice of Life, Supernatural",Kyoto Animation,1,2015-03-01,Movie,74.0,AniList,2015.0
1623,the Garden of sinners Chapter 8: The Final Chapter,"Mystery, Psychological, Supernatural",ufotable,1,2011-02-01,Ova,71.0,AniList,2011.0
1625,"Yahari Ore no Seishun Love Come wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.","Comedy, Drama, Romance, Slice of Life",feel.,1,2023-04-01,Ova,77.0,AniList,2023.0
1626,K-ON! Season 2: Plan!,"Comedy, Music, Slice of Life",Kyoto Animation,1,2011-03-01,Ova,77.0,AniList,2011.0
1630,Orange: Future,"Drama, Psychological, Romance, Sci-Fi, Supernatural",Telecom Animation Film,1,2016-11-01,Movie,73.0,AniList,2016.0
1632,Naruto the Movie: Guardians of the Crescent Moon Kingdom,"Action, Adventure",Studio Pierrot,1,2006-08-01,Movie,65.0,AniList,2006.0
1636,Bleach the Movie: The DiamondDust Rebellion,"Action, Adventure, Drama, Supernatural",Studio Pierrot,1,2007-12-01,Movie,69.0,AniList,2007.0
1641,Dragon Ball Z: Fusion Reborn,"Action, Adventure, Sci-Fi",Toei Animation,1,1995-03-01,Movie,73.0,AniList,1995.0
1652,Dragon Ball Z: Broly - The Legendary Super Saiyan,"Action, Adventure, Sci-Fi",Toei Animation,1,1993-03-01,Movie,70.0,AniList,1993.0
1656,Bleach the Movie: Fade to Black,"Action, Adventure, Drama, Supernatural",Studio Pierrot,1,2008-12-01,Movie,71.0,AniList,2008.0
1657,Tales from Earthsea,"Adventure, Fantasy",Studio Ghibli,1,2006-07-01,Movie,64.0,AniList,2006.0
1658,Fate/strange Fake -Whispers of Dawn-,"Action, Adventure, Fantasy, Mystery, Supernatural",A-1 Pictures,1,2023-07-01,Special,81.0,AniList,2023.0
1662,Fate/stay night: Unlimited Blade Works 2nd Season - sunny day,"Action, Fantasy",ufotable,1,2015-10-01,Special,73.0,AniList,2015.0
1675,Gintama - The Movie,"Action, Comedy, Sci-Fi",Sunrise,1,2010-04-01,Movie,83.0,AniList,2010.0
1686,Fullmetal Alchemist: The Sacred Star of Milos,"Action, Adventure, Comedy, Drama, Fantasy",bones,1,2011-07-01,Movie,69.0,AniList,2011.0
1692,HAIKYU!!: Lev Appears!,"Comedy, Drama, Sports",Production I.G,1,2014-11-01,Ova,75.0,AniList,2014.0
1695,ONE PIECE FAN LETTER,"Action, Adventure, Fantasy",Toei Animation,1,2024-10-01,Special,90.0,AniList,2024.0
1699,Pokémon 4Ever,"Action, Adventure, Comedy, Drama, Fantasy",OLM,1,2001-07-01,Movie,66.0,AniList,2001.0
1700,Penguin Highway,"Drama, Mystery, Sci-Fi, Slice of Life",Studio Colorido,1,2018-08-01,Movie,74.0,AniList,2018.0
1702,Ghost in the Shell 2: Innocence,"Action, Psychological, Sci-Fi",Production I.G,1,2004-03-01,Movie,75.0,AniList,2004.0
1706,Laid-Back Camp The Movie,"Comedy, Slice of Life",C-Station,1,2022-07-01,Movie,83.0,AniList,2022.0
1712,Assassination Classroom the Movie: 365 Days‘ Time,"Action, Comedy, Supernatural",Lerche,1,2016-11-01,Movie,71.0,AniList,2016.0
1714,Beyond the Boundary: Daybreak,"Drama, Fantasy, Mystery, Supernatural",Kyoto Animation,1,2014-07-01,Ova,74.0,AniList,2014.0
1716,Made in Abyss: Journey's Dawn,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",Kinema Citrus,1,2019-01-01,Movie,80.0,AniList,2019.0
1739,Seraph of the End: Kyuuketsuki Shahal,"Action, Drama, Fantasy, Supernatural",WIT STUDIO,1,2016-05-01,Ova,71.0,AniList,2016.0
1753,TONIKAWA: Over The Moon For You ~Uniform~,"Comedy, Romance, Slice of Life",Seven Arcs,1,2022-11-01,Special,77.0,AniList,2022.0
1754,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to Go Searching for Herbs on a Deserted Island?,"Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,1,2020-01-01,Ova,63.0,AniList,2020.0
1764,Hal,"Drama, Romance, Sci-Fi",Funimation,1,2013-06-01,Movie,70.0,AniList,2013.0
1771,Recovery of an MMO Junkie OVA,"Comedy, Fantasy, Romance, Slice of Life",Signal.MD,1,2017-12-01,Ova,72.0,AniList,2017.0
1775,Steins;Gate 0: Valentine's of Crystal Polymorphism -Bittersweet Intermedio-,"Comedy, Sci-Fi",WHITE FOX,1,2018-12-01,Ova,71.0,AniList,2018.0
1781,Trinity Seven: Heavens Library & Crimson Lord,"Action, Comedy, Ecchi, Fantasy, Romance",Seven Arcs,1,2019-03-01,Movie,71.0,AniList,2019.0
1782,Dragon Ball Z: Cooler's Revenge,"Action, Adventure, Sci-Fi",Toei Animation,1,1991-07-01,Movie,67.0,AniList,1991.0
1786,Voices of a Distant Star,"Drama, Mecha, Romance, Sci-Fi",ADV Films,1,2002-02-01,Ova,64.0,AniList,2002.0
1787,Code Geass: Akito the Exiled - The Wyvern Arrives,"Action, Mecha, Sci-Fi",Sunrise,1,2012-08-01,Movie,69.0,AniList,2012.0
1790,The Moment You Fall in Love,"Drama, Romance, Slice of Life",Qualia Animation,1,2016-12-01,Movie,68.0,AniList,2016.0
1793,Mob Psycho 100 REIGEN The Miraculous Unknown Psychic,"Action, Comedy, Supernatural",bones,1,2018-03-01,Ova,72.0,AniList,2018.0
1796,A Certain Magical Index: The Miracle of Endymion,"Action, Music, Sci-Fi",J.C.STAFF,1,2013-02-01,Movie,72.0,AniList,2013.0
1798,"The Testament of Sister New Devil: Tojo Basara's Hard, Sweet Daily Life","Action, Ecchi, Fantasy, Romance",Production IMS,1,2015-06-01,Ova,65.0,AniList,2015.0
1801,Masamune-kun's Revenge OAD,"Comedy, Romance, Slice of Life",SILVER LINK.,1,2018-07-01,Ova,64.0,AniList,2018.0
1802,Boku no Hero Academia: Training of the Dead,"Action, Adventure, Comedy, Supernatural",bones,1,2017-06-01,Ova,68.0,AniList,2017.0
1817,Elfen Lied: Just How Did the Young Girl Arrive at Those Feelings?,"Action, Drama, Ecchi, Horror, Psychological, Romance, Supernatural",VAP,1,2005-04-01,Ova,65.0,AniList,2005.0
1821,the Garden of sinners -recalled out summer-,"Drama, Mystery, Supernatural",ufotable,1,2013-09-01,Movie,78.0,AniList,2013.0
1837,Persona 3 the Movie: #1 Spring of Birth,"Action, Adventure, Drama, Psychological, Sci-Fi, Supernatural",AIC A.S.T.A.,1,2013-11-01,Movie,73.0,AniList,2013.0
1840,The Seven Deadly Sins: Cursed by Light,"Action, Adventure, Comedy, Ecchi, Fantasy",Studio DEEN,1,2021-07-01,Movie,70.0,AniList,2021.0
1843,Fate/Grand Order Divine Realm of the Round Table: Camelot - Wandering; Agateram,"Action, Fantasy",Production I.G,1,2020-12-01,Movie,68.0,AniList,2020.0
1846,Eden of the East the Movie I: The King of Eden,"Action, Comedy, Drama, Mystery, Romance, Slice of Life",Production I.G,1,2009-11-01,Movie,72.0,AniList,2009.0
1852,PSYCHO-PASS Sinners of the System: Case.1 Crime and Punishment,"Action, Psychological, Sci-Fi, Thriller",Production I.G,1,2019-01-01,Movie,70.0,AniList,2019.0
1853,Mary and The Witch's Flower,"Adventure, Fantasy",Studio Ponoc,1,2017-07-01,Movie,71.0,AniList,2017.0
1857,Dragon Ball Z: Wrath of the Dragon,"Action, Adventure, Sci-Fi",Toei Animation,1,1995-07-01,Movie,70.0,AniList,1995.0
1862,MUSHI-SHI OVA,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",Artland,1,2014-01-01,Special,83.0,AniList,2014.0
1867,Trinity Seven: Nanatsu no Taizai to Nana Madoushi,"Action, Comedy, Ecchi, Fantasy, Romance",Seven Arcs,1,2015-03-01,Ova,70.0,AniList,2015.0
1871,Sound! Euphonium: The Movie - Our Promise: A Brand New Day,"Drama, Music, Slice of Life",Kyoto Animation,1,2019-04-01,Movie,77.0,AniList,2019.0
1874,Ninja Scroll,"Action, Adventure, Fantasy, Horror, Romance",Movic,1,1993-06-01,Movie,72.0,AniList,1993.0
1876,Dragon Ball Z: Broly - Second Coming,"Action, Adventure, Sci-Fi",Toei Animation,1,1994-03-01,Movie,64.0,AniList,1994.0
1886,Super Danganronpa 2.5 Komaeda Nagito to Sekai no Hakaimono,"Action, Mystery, Psychological, Sci-Fi",Lerche,1,2017-01-01,Ova,69.0,AniList,2017.0
1893,Aura,"Comedy, Drama, Romance",AIC A.S.T.A.,1,2013-04-01,Movie,70.0,AniList,2013.0
1895,HAIKYU!!: VS Failing Marks,"Comedy, Drama, Sports",Production I.G,1,2015-11-01,Special,76.0,AniList,2015.0
1898,High School DxD BorN: Yomigaeranai Fushichou,"Action, Comedy, Ecchi, Fantasy",TNK,1,2015-12-01,Ova,70.0,AniList,2015.0
1904,Fate/Prototype,"Action, Fantasy, Romance",Lerche,1,2011-12-01,Ova,63.0,AniList,2011.0
1908,Attack on Titan ~Chronicle~,"Action, Drama, Fantasy, Mystery",WIT STUDIO,1,2020-07-01,Movie,76.0,AniList,2020.0
1909,Tekkonkinkreet,"Action, Psychological, Supernatural",Horipro,1,2006-12-01,Movie,76.0,AniList,2006.0
1920,ONE PIECE: The Movie,"Action, Adventure, Comedy, Fantasy",Toei Animation,1,2000-03-01,Movie,67.0,AniList,2000.0
1924,"Love, Chunibyo & Other Delusions: Rikka Version","Comedy, Drama, Romance, Slice of Life",Kyoto Animation,1,2013-09-01,Movie,72.0,AniList,2013.0
1934,Mobile Suit Gundam: The Witch from Mercury - PROLOGUE,"Mecha, Sci-Fi",Sunrise,1,2022-07-01,Special,78.0,AniList,2022.0
1937,My Hero Academia: You’re Next,"Action, Adventure, Sci-Fi",bones,1,2024-08-01,Movie,76.0,AniList,2024.0
1938,Metropolis,"Adventure, Drama, Romance, Sci-Fi",MADHOUSE,1,2001-05-01,Movie,73.0,AniList,2001.0
1945,Pokémon Heroes,"Action, Adventure, Comedy, Drama, Fantasy",OLM,1,2002-07-01,Movie,69.0,AniList,2002.0
1946,The Irregular at Magic High School: Reminiscence Arc,"Action, Romance, Sci-Fi, Supernatural",8-bit,1,2021-12-01,Special,75.0,AniList,2021.0
1949,Date A Bullet: Dead or Bullet & Nightmare or Queen,Sci-Fi,GEEKTOYS,1,2020-08-01,Movie,73.0,AniList,2020.0
1958,Your lie in April: Moments,"Music, Slice of Life",A-1 Pictures,1,2015-05-01,Ova,74.0,AniList,2015.0
1959,Dragon Ball Z: The Return of Cooler,"Action, Adventure, Sci-Fi",Toei Animation,1,1992-03-01,Movie,64.0,AniList,1992.0
1965,Dragon Ball Z: Bio-Broly,"Action, Adventure, Sci-Fi",Toei Animation,1,1994-07-01,Movie,52.0,AniList,1994.0
1966,Hajime no Ippo: The Fighting! - Champion Road,"Comedy, Sports",MADHOUSE,1,2003-04-01,Special,80.0,AniList,2003.0
1968,Lupin The 3rd: The Castle of Cagliostro,"Action, Adventure, Comedy, Mystery",Tokyo Movie Shinsha,1,1979-12-01,Movie,80.0,AniList,1979.0
1970,Ao Haru Ride: unwritten,"Romance, Slice of Life",Production I.G,1,2014-08-01,Ova,72.0,AniList,2014.0
1971,Dragon Ball Z: Bojack Unbound,"Action, Adventure, Sci-Fi",Toei Animation,1,1993-07-01,Movie,67.0,AniList,1993.0
1978,MUSHI-SHI Special: Bell Droplets,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",Artland,1,2015-05-01,Movie,84.0,AniList,2015.0
1979,PSYCHO-PASS Sinners of the System: Case.2 First Guardian,"Action, Psychological, Sci-Fi, Thriller",Production I.G,1,2019-02-01,Movie,73.0,AniList,2019.0
1980,BLACKFOX,"Action, Sci-Fi",Studio 3Hz,1,2019-10-01,Movie,64.0,AniList,2019.0
1985,Code Geass: Lelouch of the Rebellion I - Initiation,"Action, Drama, Mecha, Sci-Fi, Thriller",Sunrise,1,2017-10-01,Movie,76.0,AniList,2017.0
1987,One Piece: Baron Omatsuri and the Secret Island,"Adventure, Comedy, Fantasy",Toei Animation,1,2005-03-01,Movie,77.0,AniList,2005.0
1994,Pokémon: Lucario and the Mystery of Mew,"Action, Adventure, Drama, Fantasy",OLM,1,2005-07-01,Movie,71.0,AniList,2005.0
1996,Dragon Ball Z: The Tree of Might,"Action, Adventure, Sci-Fi",Toei Animation,1,1990-07-01,Movie,62.0,AniList,1990.0
2000,Fate/kaleid liner Prisma☆Illya: Vow in the Snow,"Action, Drama, Fantasy, Psychological",SILVER LINK.,1,2017-08-01,Movie,78.0,AniList,2017.0
2001,Clannad: The Motion Picture,"Drama, Fantasy, Romance",Toei Animation,1,2007-09-01,Movie,66.0,AniList,2007.0
2006,given: on the other hand,"Drama, Music, Romance, Slice of Life",Lerche,1,2021-12-01,Ova,81.0,AniList,2021.0
2012,Pom Poko,"Comedy, Drama, Fantasy",Kyoto Animation,1,1994-06-01,Movie,70.0,AniList,1994.0
2014,Dragon Ball: Episode of Bardock,"Action, Adventure, Comedy, Sci-Fi",Toei Animation,1,2011-12-01,Special,68.0,AniList,2011.0
2022,Girls und Panzer der Film,"Action, Sports",Actas,1,2015-11-01,Movie,81.0,AniList,2015.0
2027,Amagi Brilliant Park: No Time to Take It Easy!,"Comedy, Fantasy",Kyoto Animation,1,2015-06-01,Ova,70.0,AniList,2015.0
2028,Black★Rock Shooter (OVA),"Action, Drama, Slice of Life",Rakuonsha,1,2010-07-01,Ova,66.0,AniList,2010.0
2031,Pokémon: The Rise of Darkrai,"Action, Adventure, Comedy, Drama, Fantasy",OLM,1,2007-07-01,Movie,70.0,AniList,2007.0
2037,PSYCHO-PASS Sinners of the System: Case.3 Beyond the Pale of Vengeance,"Action, Psychological, Sci-Fi, Thriller",Production I.G,1,2019-03-01,Movie,76.0,AniList,2019.0
2042,Haven't You Heard? I'm Sakamoto: Haven’t You Heard? I was Sakamoto,"Comedy, Slice of Life",Studio DEEN,1,2016-09-01,Ova,67.0,AniList,2016.0
2047,Corpse Party: Missing Footage,Horror,Asread,1,2012-08-01,Ova,53.0,AniList,2012.0
2050,Miss Kobayashi’s Dragon Maid S: Japanese Hospitality (The Attendant Is a Dragon),"Comedy, Fantasy, Slice of Life",Kyoto Animation,1,2022-01-01,Ova,77.0,AniList,2022.0
2051,Haganai: Episode 0,"Comedy, Romance",AIC Build,1,2011-09-01,Ova,63.0,AniList,2011.0
2052,"Omoi, Omoware, Furi, Furare","Drama, Romance",A-1 Pictures,1,2020-09-01,Movie,71.0,AniList,2020.0
2054,Pokémon: Destiny Deoxys,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural",OLM,1,2004-07-01,Movie,67.0,AniList,2004.0
2058,Maid-Sama! It's an extra!,Comedy,J.C.STAFF,1,2011-05-01,Special,72.0,AniList,2011.0
2059,Darker than Black: Beneath Cherry Blossoms in Full Bloom,"Comedy, Sci-Fi",bones,1,2008-03-01,Special,72.0,AniList,2008.0
2061,Lucky☆Star OVA,"Comedy, Slice of Life",Kyoto Animation,1,2008-09-01,Ova,76.0,AniList,2008.0
2069,The Girl from the Other Side,"Drama, Fantasy, Mystery",WIT STUDIO,1,2022-03-01,Ova,75.0,AniList,2022.0
2079,Assassination Classroom: Meeting Time,"Action, Comedy, Supernatural",Lerche,1,2014-11-01,Special,71.0,AniList,2014.0
2081,Cencoroll,"Action, Sci-Fi",Aniplex,1,2009-07-01,Movie,68.0,AniList,2009.0
2083,Boruto: Naruto the Movie - The Day Naruto Became Hokage,"Action, Comedy",Unknown,1,2016-07-01,Special,70.0,AniList,2016.0
2086,Dragon Ball Z: Super Android 13!,"Action, Adventure, Sci-Fi",Toei Animation,1,1992-07-01,Movie,64.0,AniList,1992.0
2094,Trigun: Badlands Rumble,"Action, Comedy, Sci-Fi",MADHOUSE,1,2010-04-01,Movie,76.0,AniList,2010.0
2099,VAMPIRE HUNTER D,"Action, Fantasy, Horror, Sci-Fi, Supernatural",Ajiado,1,1985-12-01,Movie,65.0,AniList,1985.0
2100,IS: Infinite Stratos Encore: A Sextet Yearning for Love,"Action, Comedy, Mecha, Sci-Fi",Sentai Filmworks,1,2011-12-01,Ova,64.0,AniList,2011.0
2101,Time of Eve: The Movie,"Sci-Fi, Slice of Life",Studio Rikka,1,2010-03-01,Movie,77.0,AniList,2010.0
2103,Fate/Grand Order Divine Realm of the Round Table: Camelot - Paladin; Agateram,"Action, Fantasy",Production I.G,1,2021-05-01,Movie,75.0,AniList,2021.0
2110,BLAME!,"Action, Drama, Horror, Psychological, Sci-Fi",POLYGON PICTURES,1,2017-05-01,Movie,68.0,AniList,2017.0
2111,Dragon Ball Z: Lord Slug,"Action, Adventure, Sci-Fi",Toei Animation,1,1991-03-01,Movie,61.0,AniList,1991.0
2112,Dragon Ball Z: Dead Zone,"Action, Adventure, Sci-Fi",Toei Animation,1,1989-07-01,Movie,62.0,AniList,1989.0
2114,Attack on Titan Part II: Wings of Freedom,"Action, Drama, Fantasy",WIT STUDIO,1,2015-06-01,Movie,76.0,AniList,2015.0
2115,Final Fantasy VII: Advent Children,"Action, Fantasy, Sci-Fi",Square Enix,1,2005-09-01,Movie,71.0,AniList,2005.0
2117,Eden of the East the Movie II: Paradise Lost,"Action, Comedy, Drama, Mystery, Romance",Production I.G,1,2010-03-01,Movie,72.0,AniList,2010.0
2123,Code Geass: Akito the Exiled - The Wyvern Divided,"Action, Mecha, Sci-Fi",Sunrise,1,2013-09-01,Movie,71.0,AniList,2013.0
2127,Blue Exorcist: Runaway Kuro,"Action, Comedy, Fantasy, Supernatural",Aniplex,1,2011-10-01,Ova,69.0,AniList,2011.0
2129,Fate/Grand Order Final Singularity - Grand Temple of Time: Solomon,"Action, Fantasy, Supernatural",CloverWorks,1,2021-07-01,Movie,76.0,AniList,2021.0
2130,Saint☆Onii-san,"Comedy, Slice of Life, Supernatural",Aniplex,1,2013-05-01,Movie,75.0,AniList,2013.0
2131,Haganai: Add-on Disc,"Comedy, Romance",Funimation,1,2012-09-01,Ova,67.0,AniList,2012.0
2133,Mind Game,"Adventure, Comedy, Psychological, Romance",Horipro,1,2004-08-01,Movie,76.0,AniList,2004.0
2135,Karakai Jouzu no Takagi-san: Water Slide,"Comedy, Romance, Slice of Life",Shin-Ei Animation,1,2018-07-01,Ova,73.0,AniList,2018.0
2137,"The Girl From the Other Side: Siúil, a Rún","Fantasy, Mystery",WIT STUDIO,1,2019-09-01,Ova,74.0,AniList,2019.0
2143,Blood Lad: Wagahai wa Neko de wa Nai,"Action, Comedy, Supernatural",Brain's Base,1,2013-12-01,Ova,68.0,AniList,2013.0
2146,Haikyu!! The Movie: Battle of Concepts,"Comedy, Drama, Sports",Production I.G,1,2017-09-01,Movie,80.0,AniList,2017.0
2149,Code Geass: Lelouch of the Rebellion III - Glorification,"Action, Drama, Mecha, Sci-Fi, Thriller",Sunrise,1,2018-05-01,Movie,77.0,AniList,2018.0
2151,Nichijou - My Ordinary Life: Episode 0,"Comedy, Slice of Life",Kyoto Animation,1,2011-03-01,Ova,73.0,AniList,2011.0
2152,Food Wars! The Third Plate: Erina at Polar Star Dormitory,"Drama, Ecchi",J.C.STAFF,1,2018-05-01,Ova,72.0,AniList,2018.0
2156,Attack on Titan Part I: Crimson Bow and Arrow,"Action, Drama, Fantasy",WIT STUDIO,1,2014-11-01,Movie,75.0,AniList,2014.0
2158,The Testament of Sister New Devil DEPARTURES,"Action, Ecchi, Fantasy, Romance",Production IMS,1,2018-01-01,Ova,66.0,AniList,2018.0
2162,MUSHI-SHI The Next Passage Special - Path of Thorns,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",Artland,1,2014-08-01,Special,82.0,AniList,2014.0
2164,Isekai Quartet The Movie: Another World,"Comedy, Fantasy",Studio PuYUKAI,1,2022-06-01,Movie,73.0,AniList,2022.0
